input,output
"When did The Department was awarded the ""Total Caring Award 2007/08"" in recognition of the Department as a socially responsible organization and a caring employer. The Department was also awarded the ""Caring Organisation Logo"" for the third consecutive year.",21-Feb 2008
When did The Department hosted the 4th Guangdong/Hong Kong/Macau Correctional Officers' Sports Meet.,Mar 02-05 2008
When did Tai Tam Gap Correctional Institution ceased to operate for redevelopment.,28-May 2008
When did Lai King Correctional Institution was opened.,28-May 2008
"When did The Road Back V, a television documentary-drama jointly produced by the Correctional Services Department (CSD) and the Radio Television Hong Kong (RTHK) was launched.",30-Sep 2008
"When did The ""Beijing-Guangdong-Hongkong-Macau Prison Forum 2008"" was held in Beijing.",Oct 09-14 2008
When did The Industries Section was reorganised as Industries and Vocational Training Section and subsumed under Rehabilitation Division.,2-Feb 2009
When did A Seminar on Rehabilitation of Sex Offenders : Opening Up Vistas of Quality Services was co-organised by CSD and Caritas - Hong Kong.,Feb 09-11 2009
"When did The Department was awarded the ""Caring Organisation Logo"" for the fourth consecutive year. The logo is awarded to government departments, statutory bodies, chambers of commerce, professional bodies and education institutions demonstrating care to employees and the community.",10-Feb 2009
When did The sign making workshop of the Industries and Vocational Training Section was accredited with the Certificate of ISO 9001:2008 by the Hong Kong Quality Assurance Agency.,7-Apr 2009
"When did An International Symposium on Preventing Offending and Reducing Re-offending was jointly organized by the Correctional Services Department (CSD), the City University of Hong Kong and the Society of Rehabilitation and Crime Prevention, Hong Kong.",15-Apr 2009
When did Lai Chi Rehabilitation Centre was opened.,25-May 2009
When did Sha Tsui Detention Centre was renamed to Sha Tsui Correctional Institution.,15-Jun 2009
When did The commercial laundries of the Industries and Vocational Training Section were accredited with the Certificate of ISO 9001:2008 by the Hong Kong Quality Assurance Agency.,28-Aug 2009
"When did The ""Beijing-Guangdong-HongKong-Macau Prison Forum 2009"" was held in Macau.",Oct 14-16 2009
When did The Industries and Vocational Training Building (I&VT Building) in Pik Uk Prison was officially opened. The building provides prisoners with improved facilities for engaging in industrial work and for vocational training.,6-Jan 2010
When did Ma Po Ping Prison and Tong Fuk Centre were combined into Tong Fuk Correctional Institution.,25-Feb 2010
When did Hei Ling Chau Addiction Treatment Centre (Annex) was renamed to Nei Kwu Correctional Institution.,25-Feb 2010
When did Castle Peak Bay Immigration Centre reverted to Immigration Department.,15-Apr 2010
"When did A symposium entitled ""Fair Employment Opportunities for Rehabilitated Persons"" was jointly organised by the Correctional Services Department, the Centre for Criminology of the University of Hong Kong and the Merchants Support for Rehabilitated Offenders Committee Limited.",10-Jun 2010
"When did The ""Beijing-Guangdong-Hong Kong-Macau Prison Forum 2010"" was held in Guangzhou.",Aug 13-16 2010
"When did The ""5th Guangdong/Hong Kong/Macau Correctional Officers' Sports Meet"" was held in Guangzhou.",Aug 17-19 2010
When did Lo Wu Correctional Institution was opened.,24-Aug 2010
"When did The Department was awarded the ""Caring Organisation Logo"" for the sixth consecutive year.",Mar 2011
When did Psychological Gymnasium in Lo Wu Correctional Institution was opened.,8-Mar 2011
"When did The ""Beijing-Guangdong-Hong Kong-Macau Prison Forum 2011"" was held in Hong Kong.",Apr 11-14 2011
"When did A seminar entitled ""Advancing Risk Management of Offenders : International Wisdom"" was co-organised by the Correctional Services Department and the Chinese University of Hong Kong.",4-May 2011
"When did A job fair entitled ""Give Rehabilitated Offenders a Chance"" was co-organised by the Correctional Services Department (CSD) and the Merchants Support for Rehabilitated Offenders Committee Limited (MSROC Ltd).",3-Aug 2011
"When did Delegation of the Correctional Services Department (CSD) attended the ""13th International Corrections and Prisons Association Annual General Meeting and Conference"" held in Singapore.",Sep 11-16 2011
"When did In the ""Civil Service Outstanding Service Award Scheme 2011""  the ""Redevelopment Project of Lo Wu Correctional Institution"" jointly initiated by the Architectural Services Department (ASD) and the Correctional Services Department (CSD) clinched Silver Prize of ""Partnership Award""  while the ""Enhanced Smart Teen Project"" involving co-operation between the Education Bureau and the Correctional Services Department (CSD) received Bronze Prize of ""Partnership Award"" ",12-Sep 2011
"When did Delegation of the Correctional Services Department (CSD) attended the ""31st Asian and Pacific Conference of Correctional Administrators"" held in Tokyo, Japan.",Oct 09-14 2011
When did The new block of Lai Chi Kok Reception Centre was opened.,19-Mar 2012
"When did The Department was awarded the ""Caring Organisation Logo"" for the seventh consecutive year.",3-May 2012
"When did The Department was awarded the Certificate of Merit in ""2011 Hong Kong Awards for Environmental Excellence"".",4-May 2012
"When did Delegation of the Correctional Services Department (CSD) attended the ""28th Association of Paroling Authorities International Annual Training Conference"" held in Florida, US.",May 20-23 2012
"When did The 6th ""Give Rehabilitated Offenders a Chance Employment Symposium"" was jointly held by the Correctional Services Department (CSD) and the Centre for Criminology of the University of Hong Kong.",14-Jun 2012
"When did Delegation of the Correctional Services Department (CSD) attended the ""32nd Asian and Pacific Conference of Correctional Administrators"" held in Brunei.",Oct 07-12 2012
"When did The 60th ""Correctional Services Department's annual Autumn Fair"" was held in Stanley.",3-Nov 2012
"When did Tung Tau Correctional Institution was designated as the Department's first ""No Smoking Adult Correctional Facility"".",1-Jan 2013
"When did The Department was awarded the ""Caring Organization Logo"" for the eighth consecutive year.",Jan 2013
"When did The second staff psychological service center, Lai Chi Kok Staff Health Centre, came into operation.",6-Mar 2013
"When did The ""Waste No Food"" Scheme was launched in Lo Wu Correctional Institution.",Apr 2013
When did The first Urine Specimen Collection Centre was opened.,25-Jun 2013
"When did The Champion of the ""Integrity Video Shooting Competition"" under ""Staff Motivation Scheme 2012-13"" was awarded the 2013 Questar Awards (Honors Award) in the Staff Training category.",Jun 2013
"When did The ""Hong Kong and Guangdong Prison (Correctional Services) Cooperation Agreement"" was signed with Guangdong prison Administrative Bureau.",16-Jan 2014
When did The Electric Locks Security System in Lo Wu Correctional Institution co-developed by CSD and the Electrical & Mechanical Services Department was awarded Best Innovation (Entrepreneurial Innovation) Special Mention in the Hong Kong ICT Awards.,Apr 2014
When did CSD held the first video conferencing job fair for persons in custody soon to release to facilitate their employment and reintegration.,26-Sep 2014
"When did Pak Sha Wan Correctional Institution was designated as the Department's second ""No Smoking Adult Correctional Facility""",1-Dec 2014
"When did Decantation of Ma Hang Prison, elderly persons in custody transferred to Tai Lam Correctional Institution for remaining sentence.",21-Jan 2015
"When did The Department was awarded the ""Caring Organisation Logo"" for the tenth consecutive year.",Jan   2015
"When did An elderly unit namely ""Evergreen Garden"" was established at Tai Lam Correctional Institution in which an integrated correctional programme addressing the needs of the elderly persons in custody has been implemented to help them reintegrate into society after release as law-abiding citizens.",Jan   2015
"When did An opening ceremony of the new complex of Tai Lam Centre for Women was held on May 28, 2015. The new complex comprises a centre hospital, an office of the Rehabilitation Unit, correctional facilities for Category A female persons in custody and an outdoor activity yard.Institution in which an integrated correctional programme addressing the needs of the elderly persons in custody has been implemented to help them reintegrate into society after release as law-abiding citizens.",28-May 2015
When did The Reflective Path is a new educational initiative officially launched in September 2015 to introduce simulated activities for experiencing custodial life at Ma Hang Prison.Institution in which an integrated correctional programme addressing the needs of the elderly persons in custody has been implemented to help them reintegrate into society after release as law-abiding citizens.,Sep 2015
"When did Two courses launched by the Staff Training Institute's Tactical Training Section, namely ""Professional Certificate in Safe and Effective Controlled Tactics"" and ""Certificate in Safe and Effective Controlled Tactics"" were recognised by the Hong Kong Council for Accreditation of Academic and Vocational Qualifications (""HKCAAVQ"") as meeting the accreditation standards on June 14, 2016. The course accreditation is the first of its kind among the professional aspects of tactical training being recognised.Institution in which an integrated correctional programme addressing the needs of the elderly persons in custody has been implemented to help them reintegrate into society after release as law-abiding citizens.",14-Jun 2016
"When did CSD has set up regular Regional Response Teams operating in small teams under the Escort and Support Group, with a view to taking prompt actions. The Regional Response Teams are responsible for high-risk escort duties and provision of tactical skills training for correctional staff and support to various institutions to tackle emergencies.",Sep 2016
"When did CSD Knowledge Management Team attended the International Conference on Innovation and Knowledge Management (IKM) cum Most Admired Knowledge Enterprise (MAKE) Award Presentation Ceremony held at Tsinghua University, Beijing, and received the award of Asian MAKE Award 2017 on behalf of the Department which was the only organization in Hong Kong to have captured the Asian title that year.  Earlier in July 2017, CSD had won the Top Winner Award and The Best in Knowledge Culture Award in Hong Kong MAKE Award 2017.",17-Mar 2018
When did A delegation of six members from Correctional Emergency Response Team (CERT) and Regional Response Team (RRT) participated in the 5th Asian Prisons Lockdown Challenge (APLC) organised by Singapore Prison Service and clinched the Overall Championship with a member being the first ever female representative in the history of the competition.,May 8-10 2018
When did The sign making workshop of the Industries and Vocational Training Section at the Pak Sha Wan Correctional Institution passed the conversion surveillance visit and was accredited with the Certificate of ISO 9001:2015 by the Hong Kong Quality Assurance Agency.,4-Jun 2018
When did  The commercial laundries of the Industries and Vocational Training Section (Pik Uk Prison and Pak Sha Wan Correctional Institution) passed the conversion surveillance visit and were accredited with the Certificate of ISO 9001:2015 by the Hong Kong Quality Assurance Agency.,12-Jun 2018
"When did A delegation of 11 male and 1 female members from Regional Response Team (RRT) and Correctional Emergency Response Team (CERT) participated in the Mock Prison Riot 2019, Tactical Skill Competition cum Weapon and Equipment Exhibition in West Virginia, USA and clinched the overall second runner-up position which was the best result among participating teams from Asia.",Apr 30 - May 10 2019
When did All the filter mask workshops of the Industries and Vocational Training Section were accredited ISO 13485 Medical Devices Quality Management Systems by the Hong Kong Quality Assurance Agency.,31-Mar 2021
When did The Carpentry Workshops at Pik Uk Prison of the Industries and Vocational Training Section was accredited with the Certificate of ISO 9001:2015 issued by the Hong Kong Quality Assurance Agency.,5-Jul 2023
